pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,discoverymethod
25.09849,1.41,2.57,5828.0,1.068,1.022,Transit
30.133001,2.77,8.1,5526.0,0.89,0.891,Transit
3.166353714,3.58,12.5,5633.0,0.91,0.94,Transit
20.50586978,3.52,12.2,4841.0,0.73,0.77,Transit
2.422082,3.6,12.6,5595.0,0.839,0.918,Transit
23.5540725,1.7,3.53,8480.0,1.73,1.6,Transit
8.67888593,2.3,5.9,5792.0,1.0,1.0,Transit
990.0,12.8,1875.1876013,5981.0,1.72,1.63,Radial Velocity
10.613839,2.08,4.98,5818.0,0.893,0.873,Transit
0.32528,,,27500.0,0.18,0.47,Orbital Brightness Modulation
19.17891293,2.68,7.65,5595.0,0.91,0.93,Transit
36.2919336,2.32,5.99,6018.0,1.12,1.08,Transit
2.255251,14.829507,298.12454,5899.0,0.996,0.944,Transit
56.6747285,2.9,8.75,5722.0,0.95,0.97,Transit
10.695264,3.03,13.8,5298.0,0.858,0.825,Transit
3.97664,0.75,0.55,4684.0,0.71,0.67,Transit
566.0,13.0,111.23994245,5113.0,0.85,0.92,Radial Velocity
5.491125215,2.554,7.05,5874.0,1.106,1.06,Transit
24.422,3.25,10.6,4014.0,0.58,0.64,Radial Velocity
13.635109,1.77,19.5,3491.0,0.464,0.454,Transit
17.671796,2.5,6.8,4870.0,0.74,0.79,Transit
9.573083,2.328,9.72,6169.0,1.117,1.098,Transit
38.6715075,2.74,7.95,5688.0,0.97,0.96,Transit
31.517586,2.84,8.45,5736.0,1.425,1.02,Transit
12.91375431,3.32,11.0,6155.0,1.22,1.15,Transit
13.749,3.51,64.3,5883.0,1.7,1.21,Transit
4.21802091,13.50682174,97.57332095,5453.0,0.995,0.961,Transit
2.735926,1.64,3.33,5302.0,0.759,0.893,Transit
7.650254,2.27,5.77,5413.0,0.742,0.811,Transit
12.38602,1.009,3.3,5138.5,0.821,0.93,Transit
8.99,1.857,2.06,4499.3,0.664,0.684,Transit
2.453234,2.94,8.96,4559.0,0.65,0.77,Transit
158.6853308,3.21,10.4,5867.0,1.01,0.98,Transit
7.171,3.01,29.9,5536.0,0.946,0.89,Transit Timing Variations
50.447,2.0,13.5,5800.0,0.96,1.06,Transit
2.525593315,2.66,7.56,5754.0,1.02,1.01,Transit
4.33946454,1.67,3.43,5500.0,0.9,0.93,Transit
2.543072855,1.3,2.24,5794.0,0.99,0.99,Transit
2.69155,17.82231,699.226,6820.0,2.06,2.22,Transit
4.12508,14.01125,451.3186,6397.0,1.45,1.1,Transit
2.05333679,1.11,1.41,6113.0,1.28,1.12,Transit
19.67416124,1.66,3.39,6112.0,1.09,1.1,Transit
529.93,12.0,7057.73298,4887.0,12.24,2.61,Radial Velocity
6.070290089,2.11934728,5.14,5076.0,0.763,0.86,Transit
9.51216,2.78043818,8.15,4303.0,0.714145,0.67,Transit
10.558345,1.17,14.7,5631.0,0.802,0.87,Transit
142.544247,2.72,7.85,5225.0,0.78,0.81,Transit
5.72319,13.11453,279.6904,6087.0,1.3,1.45,Transit
1.091418901,22.02564708,467.2101,6265.0,1.69,1.325,Transit
3.69364,17.71022,187.5197,6100.0,1.76,1.08,Transit
4.954,16.36514,133.4886,6430.0,1.8,0.94,Transit
