pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,discoverymethod
7.757595,1.95,,,0.713,,Transit
540.0,5.7,,5200.0,0.94,,Transit
,12.81,,,1.947,,Transit
2790.0,12.2,,5100.0,0.93,,Transit
2.2,8.4,,4800.0,0.87,,Transit
440.0,16.3,,4600.0,0.85,,Transit
83830.0,12.0,,4000.0,0.74,,Transit
6340.0,12.8,,4800.0,0.88,,Transit
30.0,22.8,,3400.0,0.89,,Transit
1.648932,9.6,,3440.0,0.46,,Transit
1.6488,,,3392.0,0.445314,0.441527,Transit
0.5111,,,3092.0,0.214796,0.183836,Transit
2.5331,,,5301.32,1.54022,0.91,Transit
1.9828,,,3213.0,0.293047,0.268704,Transit
1.9828041248,10.89107018,,3213.0,0.293047,,Transit
1.982809,,,3330.0,0.291,,Transit
6.0162,,,3249.0,0.400314,0.391835,Transit
11.6158,,,3189.0,0.339085,0.32159,Transit
3.6494,,,3338.0,0.326267,0.306782,Transit
3.65017,1.15,,,0.249,,Transit
5.76808,1.19,,,0.249,,Transit
5.7663,,,3338.0,0.326267,0.306782,Transit
7.98221,,,3338.0,0.326267,0.306782,Transit
7.98471,1.19,,,0.249,,Transit
29.0529,,,3373.0,0.325107,0.305444,Transit
2.4616,,,9962.0,2.32365,2.55,Transit
7.0502,,,4947.69,0.705709,0.815,Transit
1.4408,,,4154.0,1.58859,,Transit
0.6199,,,2978.0,0.596423,0.585161,Transit
0.7474,,,,,,Transit
1.124,,,3074.0,0.50547,0.503436,Transit
1.4562,,,,,,Transit
2.8742,,,3648.0,1.41662,,Transit
1.6281,,,5691.0,2.74444,1.013,Transit
9.2048,,,11886.0,3.61562,3.165,Transit
1.1488,,,3429.0,0.984957,0.418,Transit
1.8361,,,,,,Transit
5.6683,,,3521.0,0.956267,0.471,Transit
0.6308,,,,,,Transit
1.8204,,,3112.0,0.5139,0.511624,Transit
4.5417,,,2897.0,0.641751,0.620907,Transit
1.957,,,3913.0,45.3731,,Transit
4.86406,1.09,,3407.0,0.298809,0.27526,Transit
4.86496,1.09,,,0.261,,Transit
11.55059,1.98,,3677.0,0.469901,0.467536,Transit
0.19785,0.72,,3677.0,0.469901,0.467536,Transit
0.22181,1.13,,3942.0,0.585409,0.576018,Transit
2.178008,0.67,,,0.299,,Transit
2.177846,1.2,,,0.56,,Transit
2.17807,0.65,,3511.0,0.409602,0.402278,Transit
4.96883,0.67,,3511.0,0.409602,0.402278,Transit
4.96792,0.75,,,0.299,,Transit
1.91828,1.0,,,,,Transit
1.56493,2.22,,3938.0,0.624202,0.607401,Transit
1.56494,2.06,,,0.556,,Transit
19.53405,9.82,,3316.0,0.460378,0.457571,Transit
19.53403,12.7,,,0.45,,Transit
2.176955,1.25,,,0.169,,Transit
2.17693,7.92,,3176.0,0.170856,0.14116,Transit
1.53453,1.02,,,0.29,0.28,Transit
3.48928,0.91,,3742.0,0.682132,0.650711,Transit
1.4835,1.41,,3200.0,0.317944,0.297189,Transit
63.8432,2.78,,,0.594,,Transit
63.84825,2.86,,3973.09,0.731598,0.62,Transit
4.352428,16.6,,,0.67,,Transit
4.35244,14.07,,4459.0,0.764238,0.7,Transit
2.851702,2.16,,,0.303,,Transit
2.85177,3.34,,3288.0,0.387653,0.377476,Transit
1.83473,29.93,,4385.0,0.826606,0.69,Transit
25.8614,1.58,,,0.295,,Transit
